participant_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
user_0132,4.0,2.0,3.0,1.0,4.0,1.5,3.0,2.5,3.5,2.0
user_0133,4.0,2.0,4.0,3.0,4.0,2.0,3.5,2.0,3.0,2.5
user_0134,4.0,1.5,4.0,1.0,3.0,2.5,5.0,2.0,4.5,1.0
user_0150,4.5,1.5,4.0,1.5,4.0,2.0,4.5,2.0,3.5,1.5
user_0152,5.0,2.0,4.5,1.0,4.5,2.0,4.0,1.5,4.5,1.5
user_0153,2.0,1.0,4.5,2.0,2.5,3.5,3.0,2.0,1.0,2.0
user_0158,1.0,4.5,2.0,2.5,2.5,3.5,2.0,3.5,2.0,1.0
user_0170,3.5,2.0,4.0,2.5,4.0,1.5,4.0,1.5,3.5,2.0
user_0171,4.0,1.0,3.5,1.0,4.0,1.0,4.0,1.0,3.5,1.0
user_0201,4.0,1.0,4.5,1.5,5.0,1.0,5.0,1.0,5.0,2.0
user_0203,3.0,2.5,2.5,4.5,4.0,1.0,1.0,2.5,2.0,1.0
user_0204,2.5,3.0,4.5,1.5,4.0,1.0,4.0,1.0,3.0,1.0
user_0205,4.0,1.5,4.5,1.5,4.0,3.0,5.0,2.5,4.5,1.0
