participant_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9
user_0043,4.5,4.5,4.5,5.0,5.0,4.5,4.5,4.5,5.0
user_0045,6.5,5.0,4.5,6.0,6.0,5.0,5.0,4.5,5.0
user_0046,5.0,5.0,5.5,5.0,5.0,5.0,5.0,4.5,5.0
user_0047,4.5,7.0,5.0,3.5,5.0,4.5,5.5,3.0,2.0
user_0048,4.5,4.5,4.0,4.5,4.5,4.5,4.5,4.5,4.5
user_0049,7.0,4.5,5.0,4.0,5.0,5.0,4.0,2.5,4.5
user_0050,4.0,5.5,3.0,3.0,3.5,4.0,3.5,3.5,4.0
user_0051,6.5,7.0,5.5,7.0,7.0,6.5,7.0,7.0,7.0
user_0055,5.5,5.5,5.5,7.0,7.0,7.0,7.0,7.0,5.5
user_0061,5.5,3.5,4.5,6.5,6.5,4.0,4.5,3.5,5.0
user_0065,7.0,6.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0
user_0067,6.5,6.0,5.0,6.0,4.5,7.0,6.5,6.5,5.0
user_0101,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0
user_0102,6.0,5.0,5.5,6.5,6.0,6.0,6.0,4.0,3.5
user_0103,6.5,4.5,6.0,6.5,7.0,6.0,6.5,4.0,6.5
user_0104,7.0,6.5,6.0,6.0,7.0,7.0,7.0,6.0,6.0
user_0105,5.5,5.5,5.5,5.5,4.5,5.0,4.5,4.0,4.5
user_0106,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,4.5
user_0107,5.5,5.0,4.5,5.0,5.0,5.5,5.5,5.0,5.5
user_0108,5.5,4.5,4.5,4.5,4.5,4.5,4.5,2.5,4.5
user_0109,5.5,5.0,5.5,5.5,5.5,5.5,6.5,6.0,6.5
user_0110,5.5,4.0,4.0,5.0,6.0,3.5,4.0,3.0,3.5
user_0113,4.5,3.5,3.5,5.0,4.0,3.0,4.5,4.0,3.5
user_0114,6.0,7.0,5.0,3.0,3.5,3.5,4.0,5.0,2.0
user_0115,6.0,5.0,5.0,5.0,6.5,5.0,5.0,6.0,4.5
user_0116,7.0,6.0,5.0,2.5,6.5,5.5,4.5,3.5,1.5
user_0118,4.0,4.0,3.5,5.0,6.0,5.5,6.0,6.5,4.0
user_0119,3.5,3.5,3.5,4.0,5.0,4.0,4.0,4.5,4.0
user_0120,5.0,4.0,5.5,5.0,6.0,5.5,5.5,4.5,5.0
user_0121,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,5.0
user_0123,6.5,5.5,6.0,7.0,7.0,7.0,7.0,6.0,6.0
user_0124,4.5,4.5,4.5,3.5,5.0,5.0,5.0,4.0,5.0
user_0125,6.0,5.5,5.5,5.0,6.0,6.5,6.0,4.0,3.5
user_0126,7.0,6.5,6.5,7.0,6.0,6.0,4.5,2.0,5.5
user_0127,7.0,6.5,7.0,6.5,7.0,6.5,6.5,7.0,7.0
user_0128,5.5,4.5,5.5,4.5,7.0,6.0,6.0,5.0,6.0
user_0129,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
user_0130,7.0,5.0,7.0,6.0,6.0,7.0,7.0,4.0,5.5
user_0131,4.0,4.0,4.0,4.0,4.5,3.5,3.0,3.5,2.5
user_0132,5.5,6.0,5.0,4.0,6.0,5.5,6.0,5.5,5.0
user_0133,6.0,6.0,6.0,6.5,7.0,5.5,6.0,6.0,6.5
user_0134,7.0,6.0,7.0,6.5,6.5,4.5,5.5,5.0,7.0
user_0150,6.5,5.5,6.5,6.5,7.0,6.5,6.5,4.5,4.5
user_0152,7.0,6.0,6.0,6.0,6.0,6.5,5.5,4.5,6.0
user_0153,4.5,5.0,4.5,4.5,3.5,4.5,4.5,6.0,2.5
user_0158,3.5,4.0,4.0,4.0,4.5,3.5,3.0,4.5,4.0
user_0170,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.5
user_0171,7.0,7.0,7.0,7.0,5.5,5.5,5.5,6.0,5.0
user_0201,4.5,4.5,5.0,4.5,4.5,5.0,5.5,5.0,4.0
user_0203,4.0,3.5,3.5,4.5,6.0,6.0,6.5,6.0,5.0
user_0204,6.0,5.0,5.0,5.5,6.0,6.0,6.0,3.5,3.5
user_0205,6.5,6.5,7.0,6.0,5.5,5.5,5.0,5.0,7.0
